id;fullname
314;Jerry Pinto
315;Santhanam Vijay
316;Ian Botham
317;
318;David Gower
319;Anil Dharker
320;
321;Lalita Aisola
322;Clifford Narinesingh
323;RAMNARAYAN
324;Jonathan Rice
325;R.K.Sabarwak
326;Ramachandra Guha
327;Stephanie Fitzgerald
328;Roberta Wohlstetter
329;Edwin Palmer Hoyt
330;Dan Martin
331;Lauren Tarshis
332;Michael Slackman
333;Hilary Conroy
334;Steve White
335;Richard F. Hill
336;Randall Wallace
337;John C. Davenport
338;George Victor
339;Peter Darman
340;Stephen Krensky
341;Paul Dowswell
342;Timothy B. Benford
343;Susan Wels
344;Ray Merriam
345;Robert Stinnett
346;Richard E. Cragg
347;Walter L. Hixson
348;Robert A. Theobald
349;Charles A. Wills
350;
351;Kate March
352;Susan E. Hamen
353;
354;Gordon William Prange
355;Toshio Whelchel
356;
357;Antony Best
358;Emily S. Rosenberg
359;Richard Tames
360;Kazuo Sakamaki
361;Nathaniel Harris
362;Jack Lambert Norman Polmar
363;Arch B. Taylor
364;Tamara L. Britton
365;Percy L. Greaves, Jr.
366;Ruth Ware
367;Nicholas Searle
368;Robert Stevenson
369;Laura McHugh
370;
371;Great Britain. Parliament. House of Commons
372;Harriet Beecher Stowe
373;Allison L. Sneider
374;R. Fraser
375;Elizabeth Grayson
376;Robert S. Levine
377;Lynne Withey
378;Stephen Currie
379;C. Garcia
380;John Louis DiGaetani
381;Dale M. Bauer
382;Catherine Adams
383;Tamera Alexander
384;
385;
386;
387;
388;
389;
390;Robert D. Holmstedt
391;Katharine Doob Sakenfeld
392;Samuel Stansfield
393;André Lacocque
394;Athalya Brenner
395;Yehezkel Kluger
396;Joan Chittister
397;Robert L. Hubbard
398;Wayne Stewart
399;Hugh Anderson (of Bratton.)
400;Diane McNeil
401;John Goldingay
402;John Macgowan
403;Ruth Rubin
404;
405;Peter H. W. Lau
406;Fuchsia Pickett, ThD., D.D.
407;Virginia Heyer Young
408;Warren W. Wiersbe
409;Lori Copeland
410;Marjo Christina Annette Korpel
411;A. Graeme Auld
412;Guernsey Van Riper Jr.
413;Victor H. Matthews
414;Katrina J. Larkin
415;Tod Linafelt
416;Jacob Neusner
417;NavPress
418;Ray Allen
419;Joseph N. Straus
420;Catherine Clark Kroeger
421;
422;Diana Hagee
423;John A. Mercurio
424;Thomas Scott
425;Dorothy Warren
426;Carolyn Custis James
427;Allan Wood
428;Ruth First
429;Carolyn Pressler
430;
431;
432;
433;
434;
435;
436;
437;
438;
439;
